ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
Penns1,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1470000.0,0,39.98093,-75.4346
Penns2,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1445000.0,0,39.98093,-75.4346
Penns3,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1420000.0,0,39.98093,-75.4346
Penns4,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1445000.0,0,39.98093,-75.4346
Penns5,4.0,5.0,0.94,Newtown Square,Pennsylvania,19073.0,5618.0,1795000.0,0,39.98093,-75.4346
Penns6,5.0,5.0,0.93,Newtown Square,Pennsylvania,19073.0,4953.0,1645000.0,0,39.98093,-75.4346
Penns7,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1470000.0,0,39.98093,-75.4346
Penns8,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1445000.0,0,39.98093,-75.4346
Penns9,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1420000.0,0,39.98093,-75.4346
Penns10,5.0,5.0,0.92,Newtown Square,Pennsylvania,19073.0,4953.0,1445000.0,0,39.98093,-75.4346
Penns11,4.0,5.0,0.94,Newtown Square,Pennsylvania,19073.0,5618.0,1795000.0,0,39.98093,-75.4346
Penns12,5.0,5.0,0.93,Newtown Square,Pennsylvania,19073.0,4953.0,1645000.0,0,39.98093,-75.4346
Penns13,3.0,3.0,1.14,Lower Mt Bethel Township,Pennsylvania,18013.0,1865.0,279900.0,1,40.85511,-75.17114
Penns14,3.0,1.0,0.56,East Stroudsburg,Pennsylvania,18301.0,1050.0,129900.0,1,41.03141,-75.18316
Penns15,3.0,1.0,0.22,Bangor,Pennsylvania,18013.0,1011.0,160000.0,0,40.85511,-75.17114
Penns16,2.0,3.0,0.03,Stroudsburg,Pennsylvania,18360.0,1230.0,189900.0,1,40.97254,-75.28562
Penns17,1.0,1.0,0.13,Bangor,Pennsylvania,18013.0,4048.0,350000.0,0,40.85511,-75.17114
Penns18,3.0,2.0,0.13,East Stroudsburg,Pennsylvania,18301.0,1306.0,259900.0,1,41.03141,-75.18316
Penns19,3.0,1.0,0.09,Bangor,Pennsylvania,18013.0,904.0,135900.0,1,40.85511,-75.17114
Penns20,2.0,2.0,0.02,Stroudsburg,Pennsylvania,18360.0,1166.0,171500.0,0,40.97254,-75.28562
Penns21,4.0,2.0,0.15,Bangor,Pennsylvania,18013.0,2088.0,189900.0,1,40.85511,-75.17114
Penns22,1.0,1.0,0.15,Stroudsburg,Pennsylvania,18360.0,2500.0,479900.0,0,40.97254,-75.28562
Penns23,4.0,1.0,0.15,Stroudsburg,Pennsylvania,18360.0,3360.0,479900.0,0,40.97254,-75.28562
Penns24,4.0,3.0,0.27,Stroudsburg,Pennsylvania,18360.0,2646.0,394500.0,0,40.97254,-75.28562
Penns25,4.0,4.0,50.1,East Stroudsburg,Pennsylvania,18301.0,3902.0,2250000.0,1,41.03141,-75.18316
Penns26,3.0,2.0,0.24,Stroud Township,Pennsylvania,18360.0,1161.0,285000.0,1,40.97254,-75.28562
Penns27,3.0,5.0,15.0,Upper Mt Bethel Township,Pennsylvania,18343.0,2500.0,1500000.0,1,40.89043,-75.1058
Penns28,4.0,3.0,0.4,Bushkill,Pennsylvania,18324.0,2661.0,349000.0,1,41.14712,-75.0001
Penns29,3.0,3.0,0.48,Greeley,Pennsylvania,18425.0,2200.0,199000.0,0,41.42263,-75.02206
Penns30,3.0,2.0,1.04,Milford,Pennsylvania,18337.0,3220.0,270000.0,1,41.33406,-74.87342
Penns31,4.0,3.0,0.85,East Stroudsburg,Pennsylvania,18301.0,2107.0,449900.0,0,41.03141,-75.18316
Penns32,3.0,3.0,0.32,East Stroudsburg,Pennsylvania,18301.0,1350.0,245000.0,1,41.03141,-75.18316
Penns33,1.0,2.0,0.15,Bangor,Pennsylvania,18013.0,2800.0,219900.0,0,40.85511,-75.17114
Penns34,4.0,2.0,0.39,Stroudsburg,Pennsylvania,18360.0,2142.0,269000.0,1,40.97254,-75.28562
Penns35,4.0,3.0,0.15,Stroudsburg,Pennsylvania,18360.0,2808.0,470000.0,1,40.97254,-75.28562
Penns36,3.0,2.0,0.66,Bushkill,Pennsylvania,18324.0,1800.0,159900.0,0,41.14712,-75.0001
Penns37,5.0,7.0,1.69,East Stroudsburg,Pennsylvania,18302.0,5700.0,849000.0,1,41.09243,-75.11783
Penns38,3.0,3.0,0.9,East Stroudsburg,Pennsylvania,18301.0,3182.0,189000.0,1,41.03141,-75.18316
Penns39,3.0,2.0,0.85,East Stroudsburg,Pennsylvania,18302.0,1509.0,139995.0,1,41.09243,-75.11783
Penns40,3.0,1.0,0.69,Shohola,Pennsylvania,18458.0,4632.0,169000.0,0,41.40916,-74.91757
Penns41,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,394900.0,0,41.37566,-74.73674
Penns42,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,449000.0,0,41.37566,-74.73674
Penns43,5.0,5.0,0.6,East Stroudsburg,Pennsylvania,18302.0,6300.0,874999.0,1,41.09243,-75.11783
Penns44,5.0,4.0,1.5,Hawley,Pennsylvania,18428.0,5138.0,625000.0,0,41.42946,-75.1253
Penns45,3.0,2.0,0.29,Bushkill,Pennsylvania,18324.0,2700.0,200000.0,1,41.14712,-75.0001
Penns46,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,357900.0,0,41.37566,-74.73674
Penns47,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,367900.0,0,41.37566,-74.73674
Penns48,3.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,394900.0,0,41.37566,-74.73674
Penns49,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,382900.0,0,41.37566,-74.73674
Penns50,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,382900.0,0,41.37566,-74.73674
Penns51,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,342900.0,0,41.37566,-74.73674
Penns52,3.0,2.0,0.46,Bushkill,Pennsylvania,18324.0,1120.0,129900.0,0,41.14712,-75.0001
Penns53,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,515000.0,0,41.37566,-74.73674
Penns54,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,515000.0,0,41.37566,-74.73674
Penns55,2.0,1.0,0.39,Dingmans Ferry,Pennsylvania,18328.0,1677.0,119900.0,0,41.22531,-75.00633
Penns56,3.0,3.0,2.23,Shohola,Pennsylvania,18458.0,4411.0,439900.0,1,41.40916,-74.91757
Penns57,3.0,2.0,0.3,Dingmans Ferry,Pennsylvania,18328.0,1656.0,194900.0,1,41.22531,-75.00633
Penns58,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,357900.0,0,41.37566,-74.73674
Penns59,4.0,2.0,2.05,Dingmans Ferry,Pennsylvania,18328.0,1840.0,595000.0,0,41.22531,-75.00633
Penns60,3.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,357900.0,0,41.37566,-74.73674
Penns61,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,357900.0,0,41.37566,-74.73674
Penns62,4.0,3.0,1.54,Bushkill,Pennsylvania,18324.0,2338.0,515000.0,1,41.14712,-75.0001
Penns63,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2200.0,382900.0,0,41.37566,-74.73674
Penns64,2.0,1.0,0.51,Bushkill,Pennsylvania,18324.0,816.0,106000.0,1,41.14712,-75.0001
Penns65,3.0,3.0,0.4,Milford,Pennsylvania,18337.0,2692.0,209900.0,1,41.33406,-74.87342
Penns66,3.0,2.0,0.58,Lords Valley,Pennsylvania,18428.0,2174.0,279000.0,0,41.42946,-75.1253
Penns67,2.0,1.0,0.44,Bushkill,Pennsylvania,18324.0,800.0,114500.0,0,41.14712,-75.0001
Penns68,3.0,2.0,1.23,Milford,Pennsylvania,18337.0,4116.0,424000.0,0,41.33406,-74.87342
