ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
Maine1,4.0,3.0,2.0,Eliot,Maine,3903.0,2628.0,750000.0,1,43.14885,-70.786
Maine2,3.0,4.0,2.97,Eliot,Maine,3903.0,2600.0,549000.0,0,43.14885,-70.786
Maine3,5.0,5.0,0.95,Eliot,Maine,3903.0,3116.0,850000.0,0,43.14885,-70.786
Maine4,3.0,2.0,1.23,Eliot,Maine,3903.0,1116.0,469500.0,1,43.14885,-70.786
Maine5,3.0,3.0,2.01,Saco,Maine,4027.0,2080.0,599990.0,0,43.40333,-70.91155
Maine6,2.0,2.0,2.02,Lebanon,Maine,4027.0,1124.0,310000.0,0,43.40333,-70.91155
Maine7,4.0,2.0,0.22,Berwick,Maine,3901.0,5795.0,699000.0,0,43.30063,-70.84397
Maine8,4.0,3.0,4.63,Acton,Maine,4001.0,2862.0,459900.0,0,43.52991,-70.92078
Maine9,3.0,1.0,0.12,Eliot,Maine,3903.0,1291.0,329000.0,0,43.14885,-70.786
Maine10,3.0,4.0,2.97,Eliot,Maine,3903.0,2600.0,549000.0,0,43.14885,-70.786
Maine11,5.0,5.0,0.95,Eliot,Maine,3903.0,3116.0,850000.0,0,43.14885,-70.786
Maine12,3.0,2.0,3.62,Eliot,Maine,3903.0,1838.0,425000.0,0,43.14885,-70.786
Maine13,3.0,2.0,1.23,Eliot,Maine,3903.0,1116.0,469500.0,1,43.14885,-70.786
Maine14,3.0,2.0,0.75,Eliot,Maine,3903.0,2508.0,600000.0,0,43.14885,-70.786
Maine15,3.0,1.0,0.52,Bethel,Maine,4217.0,1400.0,259000.0,0,44.36726,-70.83364
Maine16,4.0,3.0,0.91,Bethel,Maine,4217.0,2712.0,669000.0,0,44.36726,-70.83364
Maine17,5.0,5.0,1.07,Newry,Maine,4261.0,5160.0,2995000.0,0,44.5631,-70.91907
Maine18,6.0,6.0,4.0,Newry,Maine,4261.0,6307.0,1599000.0,1,44.5631,-70.91907
Maine19,3.0,2.0,1.53,Fryeburg,Maine,4037.0,1691.0,359900.0,0,44.09129,-70.94942
Maine20,2.0,2.0,0.3,Bethel,Maine,4217.0,2000.0,189000.0,0,44.36726,-70.83364
Maine21,2.0,1.0,0.24,Rangeley,Maine,4970.0,765.0,299000.0,0,45.00032,-70.63519
Maine22,4.0,3.0,1.5,Bethel,Maine,4217.0,2444.0,720000.0,0,44.36726,-70.83364
Maine23,3.0,2.0,2.02,Bethel,Maine,4217.0,1696.0,479000.0,1,44.36726,-70.83364
Maine24,9.0,5.0,10.0,Newry,Maine,4261.0,6828.0,2900000.0,0,44.5631,-70.91907
