ID,bed,bath,acre_lot,city,state,zip_code,house_size,price,sold_previously,latitude,longitude
Puert1,3.0,2.0,0.12,Adjuntas,Puerto Rico,601.0,920.0,105000.0,0,18.18027,-66.75266
Puert2,4.0,2.0,0.08,Adjuntas,Puerto Rico,601.0,1527.0,80000.0,0,18.18027,-66.75266
Puert3,2.0,1.0,0.15,Juana Diaz,Puerto Rico,795.0,748.0,67000.0,0,18.05128,-66.49485
Puert4,4.0,2.0,0.1,Ponce,Puerto Rico,731.0,1800.0,145000.0,0,18.09914,-66.63279
Puert5,4.0,3.0,0.46,San Sebastian,Puerto Rico,612.0,2520.0,179000.0,0,18.41283,-66.7051
Puert7,3.0,2.0,0.08,Ponce,Puerto Rico,731.0,1050.0,71600.0,0,18.09914,-66.63279
Puert8,2.0,1.0,0.09,Ponce,Puerto Rico,730.0,1092.0,100000.0,0,18.03256,-66.61384
Puert9,5.0,3.0,7.46,Las Marias,Puerto Rico,670.0,5403.0,300000.0,0,18.23782,-66.98852
Puert10,3.0,2.0,13.39,Isabela,Puerto Rico,662.0,1106.0,89000.0,0,18.46622,-67.01508
Puert11,3.0,2.0,0.08,Juana Diaz,Puerto Rico,795.0,1045.0,150000.0,0,18.05128,-66.49485
Puert12,3.0,2.0,0.1,Lares,Puerto Rico,669.0,4161.0,155000.0,0,18.27019,-66.86727
Puert13,5.0,2.0,0.12,Utuado,Puerto Rico,641.0,1620.0,79000.0,0,18.26742,-66.70212
Puert14,5.0,5.0,0.74,Ponce,Puerto Rico,731.0,2677.0,649000.0,0,18.09914,-66.63279
Puert15,3.0,2.0,0.08,Yauco,Puerto Rico,698.0,1100.0,120000.0,0,18.07274,-66.85519
Puert16,4.0,4.0,0.22,Mayaguez,Puerto Rico,680.0,3450.0,235000.0,0,18.16307,-67.36122
Puert17,3.0,2.0,0.08,Ponce,Puerto Rico,728.0,1500.0,105000.0,0,18.00697,-66.65995
Puert18,3.0,2.0,3.88,San Sebastian,Puerto Rico,685.0,4000.0,575000.0,0,18.33656,-66.97518
Puert19,6.0,3.0,0.25,Anasco,Puerto Rico,610.0,1230.0,140000.0,0,18.2911,-67.12243
Puert20,2.0,1.0,0.23,Yauco,Puerto Rico,698.0,621.0,50000.0,0,18.07274,-66.85519
Puert21,6.0,3.0,0.1,Moca,Puerto Rico,676.0,3000.0,165000.0,0,18.37897,-67.08098
Puert22,3.0,1.0,2.0,Coamo,Puerto Rico,769.0,1213.0,189000.0,0,18.09459,-66.3607
Puert23,3.0,2.0,0.05,Yauco,Puerto Rico,698.0,1118.0,122500.0,0,18.07274,-66.85519
Puert24,3.0,2.0,0.28,San Sebastian,Puerto Rico,685.0,1500.0,255000.0,0,18.33656,-66.97518
Puert25,4.0,3.0,0.3,Ponce,Puerto Rico,730.0,3000.0,425000.0,0,18.03256,-66.61384
Puert26,4.0,2.0,0.11,Guayanilla,Puerto Rico,656.0,1300.0,93000.0,0,18.04186,-66.79123
Puert27,4.0,2.0,0.04,Manati,Puerto Rico,676.0,1080.0,75000.0,0,18.37897,-67.08098
Puert28,3.0,2.0,0.69,Isabela,Puerto Rico,662.0,2505.0,469000.0,0,18.46622,-67.01508
Puert29,6.0,3.0,1.75,Villalba,Puerto Rico,766.0,1943.0,189000.0,0,18.13039,-66.4757
Puert30,5.0,4.0,0.12,Ponce,Puerto Rico,717.0,1600.0,225000.0,0,18.00272,-66.61146
Puert31,4.0,2.0,3.08,Santa Isabel,Puerto Rico,757.0,2886.0,495000.0,0,17.9933,-66.39056
Puert32,1.0,1.0,0.1,Ponce,Puerto Rico,730.0,850.0,220000.0,0,18.03256,-66.61384
Puert33,3.0,1.0,0.23,Yauco,Puerto Rico,698.0,936.0,70500.0,0,18.07274,-66.85519
Puert34,3.0,2.0,1.13,Moca,Puerto Rico,676.0,1928.0,305000.0,0,18.37897,-67.08098
Puert35,4.0,4.0,4.84,San Sebastian,Puerto Rico,685.0,3690.0,475000.0,0,18.33656,-66.97518
Puert36,3.0,4.0,1.94,Utuado,Puerto Rico,641.0,2500.0,195000.0,0,18.26742,-66.70212
Puert37,4.0,2.0,0.24,Las Marias,Puerto Rico,670.0,1800.0,120000.0,0,18.23782,-66.98852
Puert38,9.0,7.0,0.46,Mayaguez,Puerto Rico,680.0,3709.0,650000.0,0,18.16307,-67.36122
Puert39,5.0,3.0,0.16,Ponce,Puerto Rico,730.0,3100.0,555000.0,0,18.03256,-66.61384
Puert40,6.0,6.0,0.94,Penuelas,Puerto Rico,624.0,9297.0,3900000.0,0,18.05905,-66.71932
Puert41,1.0,1.0,0.99,Moca,Puerto Rico,676.0,43082.0,400000.0,0,18.37897,-67.08098
Puert42,3.0,2.0,0.1,Aguada,Puerto Rico,602.0,600.0,95000.0,0,18.36075,-67.17541
Puert43,3.0,1.0,0.09,Aguada,Puerto Rico,602.0,900.0,74000.0,0,18.36075,-67.17541
Puert44,4.0,2.0,0.15,Aguada,Puerto Rico,602.0,3000.0,139500.0,0,18.36075,-67.17541
Puert45,1.0,1.0,0.26,Aguada,Puerto Rico,602.0,2100.0,149900.0,0,18.36075,-67.17541
Puert46,2.0,2.0,0.24,Aguada,Puerto Rico,602.0,1138.0,180000.0,0,18.36075,-67.17541
Puert47,3.0,2.0,0.13,Aguada,Puerto Rico,602.0,1380.0,249000.0,0,18.36075,-67.17541
